noise_type,noise_intensity,diffusion_type,diffusion_constant_xx,diffusion_constant_xy,diffusion_constant_yy,spatial_correlation,temporal_correlation,linear_cross_correlation_mean,linear_cross_correlation_std
correlated,0.05,anisotropic,1.5,0.0,0.0,0.5,0.05,"[0.48854924 0.36029555 0.34069434 0.32171365 0.30053072 0.24348045
 0.1923613  0.13957096]","[0.00455456 0.00534    0.00553837 0.00574751 0.00599856 0.00660142
 0.00717754 0.00779988]"
correlated,0.1,anisotropic,1.5,0.0,0.0,0.5,0.05,"[0.47453475 0.3493649  0.33071115 0.31264792 0.29248889 0.23907866
 0.19122112 0.14179902]","[0.00422481 0.00505009 0.00523167 0.00542379 0.0056551  0.0062479
 0.00680977 0.00741322]"
correlated,0.16,anisotropic,1.5,0.0,0.0,0.5,0.05,"[0.46134996 0.33886831 0.32111396 0.30392167 0.28473463 0.23475
 0.18996193 0.14370963]","[0.00362003 0.00424718 0.00443933 0.00464079 0.00488117 0.00531255
 0.00572933 0.00618338]"
correlated,0.2,anisotropic,1.5,0.0,0.0,0.5,0.05,"[0.45485126 0.33388682 0.31663989 0.29993894 0.28130026 0.23319908
 0.19009864 0.14558917]","[0.00336897 0.00397112 0.00417792 0.00439397 0.00465075 0.00498674
 0.00531613 0.00567927]"
correlated,0.24,anisotropic,1.5,0.0,0.0,0.5,0.05,"[0.44891989 0.32918693 0.31234603 0.29603827 0.27783839 0.23140544
 0.1897998  0.14683399]","[0.00304766 0.00355849 0.00368128 0.0038177  0.00398809 0.00428172
 0.00457495 0.00490203]"
correlated,0.28,anisotropic,1.5,0.0,0.0,0.5,0.05,"[0.44495221 0.32650752 0.31007421 0.29416112 0.27640171 0.23175351
 0.19174708 0.15043275]","[0.0030591  0.00369051 0.00381435 0.00395378 0.00412965 0.00445701
 0.00478002 0.00513722]"
correlated,0.32,anisotropic,1.5,0.0,0.0,0.5,0.05,"[0.43933853 0.32188268 0.3058754  0.29037485 0.27307585 0.22977903
 0.19098348 0.15091962]","[0.00319352 0.00375784 0.00391824 0.00408602 0.00428597 0.00462246
 0.00494781 0.00530287]"
correlated,0.36,anisotropic,1.5,0.0,0.0,0.5,0.05,"[0.43504627 0.31871766 0.30308432 0.28794589 0.27105102 0.22930414
 0.1918974  0.15326775]","[0.00262764 0.00315147 0.00324556 0.00335151 0.00348534 0.00383074
 0.00416784 0.00453697]"
correlated,0.5,anisotropic,1.5,0.0,0.0,0.5,0.05,"[0.41868804 0.30517777 0.29065808 0.27659804 0.26090668 0.22334121
 0.18968116 0.1549207 ]","[0.00235387 0.00275295 0.00282837 0.00292014 0.00304223 0.00327396
 0.00351386 0.00378724]"
correlated,0.75,anisotropic,1.5,0.0,0.0,0.5,0.05,"[0.39277424 0.28332125 0.27055506 0.258193   0.24439663 0.21265289
 0.18420932 0.15483588]","[0.00192918 0.00225337 0.00235838 0.0024756  0.00262194 0.0027781
 0.00294384 0.00313636]"
