noise_type,noise_intensity,diffusion_type,diffusion_constant_xx,diffusion_constant_xy,diffusion_constant_yy,spatial_correlation,temporal_correlation,linear_cross_correlation_mean,linear_cross_correlation_std
correlated,0.05,isotropic,0.45,0,0,0.5,0.05,[0.4766850471985645],[0.0067426177506851]
correlated,0.1,isotropic,0.45,0,0,0.5,0.05,[0.4289067870761871],[0.0056909379473288]
correlated,0.16,isotropic,0.45,0,0,0.5,0.05,[0.3918986091712504],[0.004084725868102]
correlated,0.2,isotropic,0.45,0,0,0.5,0.05,[0.376456027168062],[0.0041902622059686]
correlated,0.24,isotropic,0.45,0,0,0.5,0.05,[0.363797400243423],[0.003678224320939]
correlated,0.28,isotropic,0.45,0,0,0.5,0.05,[0.3518097235444012],[0.0034010063346428]
correlated,0.32,isotropic,0.45,0,0,0.5,0.05,[0.341110746374852],[0.003153434772716]
correlated,0.36,isotropic,0.45,0,0,0.5,0.05,[0.3316823832499894],[0.0026502104822554]
correlated,0.5,isotropic,0.45,0,0,0.5,0.05,[0.3029991912389078],[0.0025692849754067]
correlated,0.75,isotropic,0.45,0,0,0.5,0.05,[0.2677308812801444],[0.0021781459251915]
correlated,1.0,isotropic,0.45,0,0,0.5,0.05,[0.2426201976938176],[0.00171683411567]
correlated,0.05,isotropic,0.6,0,0,0.5,0.05,[0.5354501903962123],[0.0070219336749082]
correlated,0.1,isotropic,0.6,0,0,0.5,0.05,[0.4873099766060238],[0.0054800992882087]
correlated,0.16,isotropic,0.6,0,0,0.5,0.05,[0.4479089382821404],[0.0046996061113909]
correlated,0.2,isotropic,0.6,0,0,0.5,0.05,[0.4323270114769018],[0.0047814062909215]
correlated,0.24,isotropic,0.6,0,0,0.5,0.05,[0.4197531870814912],[0.0041423056064905]
correlated,0.28,isotropic,0.6,0,0,0.5,0.05,[0.4073560492792006],[0.0035284284486123]
correlated,0.32,isotropic,0.6,0,0,0.5,0.05,[0.3958301032982378],[0.0034606959703279]
correlated,0.36,isotropic,0.6,0,0,0.5,0.05,[0.3848013715458591],[0.003685445118962]
correlated,0.5,isotropic,0.6,0,0,0.5,0.05,[0.3527080099313751],[0.0028316142141901]
correlated,0.75,isotropic,0.6,0,0,0.5,0.05,[0.3100593528163986],[0.0022376896303342]
correlated,1.0,isotropic,0.6,0,0,0.5,0.05,[0.2785237756743348],[0.0017015135687233]
correlated,0.05,isotropic,0.75,0,0,0.5,0.05,[0.5786116472556384],[0.0082622770046067]
correlated,0.1,isotropic,0.75,0,0,0.5,0.05,[0.53361505732774],[0.0059810919856513]
correlated,0.16,isotropic,0.75,0,0,0.5,0.05,[0.4893975164226852],[0.0063738729190073]
correlated,0.2,isotropic,0.75,0,0,0.5,0.05,[0.4734580930224804],[0.0052729989465185]
correlated,0.24,isotropic,0.75,0,0,0.5,0.05,[0.4617803427986186],[0.0046063746747741]
correlated,0.28,isotropic,0.75,0,0,0.5,0.05,[0.4494556262298094],[0.0041445207840415]
correlated,0.32,isotropic,0.75,0,0,0.5,0.05,[0.4385327504821685],[0.0039946883657746]
correlated,0.36,isotropic,0.75,0,0,0.5,0.05,[0.4281537124373449],[0.0034956854571714]
correlated,0.5,isotropic,0.75,0,0,0.5,0.05,[0.3945965913482157],[0.0031817487559475]
correlated,0.75,isotropic,0.75,0,0,0.5,0.05,[0.3463272871325873],[0.002329651267253]
correlated,1.0,isotropic,0.75,0,0,0.5,0.05,[0.3109872315116657],[0.0020027209361346]
correlated,0.05,isotropic,0.9,0,0,0.5,0.05,[0.6086385629671179],[0.007966996559928]
correlated,0.1,isotropic,0.9,0,0,0.5,0.05,[0.5673688611662605],[0.0068033631880668]
correlated,0.16,isotropic,0.9,0,0,0.5,0.05,[0.521066280510326],[0.0061643542514303]
correlated,0.2,isotropic,0.9,0,0,0.5,0.05,[0.5049838693557482],[0.0054256042979734]
correlated,0.24,isotropic,0.9,0,0,0.5,0.05,[0.4932128444216943],[0.0046954548587462]
correlated,0.28,isotropic,0.9,0,0,0.5,0.05,[0.4840439076757072],[0.0040655483717013]
correlated,0.32,isotropic,0.9,0,0,0.5,0.05,[0.4731926758537083],[0.0041025539372345]
correlated,0.36,isotropic,0.9,0,0,0.5,0.05,[0.4624050528932071],[0.0040345873134781]
correlated,0.5,isotropic,0.9,0,0,0.5,0.05,[0.4286456560766404],[0.0029272430069422]
correlated,0.75,isotropic,0.9,0,0,0.5,0.05,[0.3779350169113171],[0.0027221932122775]
correlated,1.0,isotropic,0.9,0,0,0.5,0.05,[0.3391519598802578],[0.0023590357926448]
correlated,0.05,isotropic,1.05,0,0,0.5,0.05,[0.6308727989666922],[0.0084995021552171]
correlated,0.1,isotropic,1.05,0,0,0.5,0.05,[0.5955021587060152],[0.0068848477781698]
correlated,0.16,isotropic,1.05,0,0,0.5,0.05,[0.5453624075547804],[0.0067424837235175]
correlated,0.2,isotropic,1.05,0,0,0.5,0.05,[0.5312426337975558],[0.0055967629473861]
correlated,0.24,isotropic,1.05,0,0,0.5,0.05,[0.5186686044538774],[0.0053356283901112]
correlated,0.28,isotropic,1.05,0,0,0.5,0.05,[0.5089758037869152],[0.0053082814451431]
correlated,0.32,isotropic,1.05,0,0,0.5,0.05,[0.5000985138698187],[0.0047529074525808]
correlated,0.36,isotropic,1.05,0,0,0.5,0.05,[0.4897011188822854],[0.0042205074482066]
correlated,0.5,isotropic,1.05,0,0,0.5,0.05,[0.4573639855255607],[0.0037060382293016]
correlated,0.75,isotropic,1.05,0,0,0.5,0.05,[0.4060396036362739],[0.0025589021497756]
correlated,1.0,isotropic,1.05,0,0,0.5,0.05,[0.3643507459585706],[0.0024519331264886]
correlated,0.05,isotropic,1.2,0,0,0.5,0.05,[0.6501007792400817],[0.0083881394985836]
correlated,0.1,isotropic,1.2,0,0,0.5,0.05,[0.6178352168073153],[0.007295078572258]
correlated,0.16,isotropic,1.2,0,0,0.5,0.05,[0.5675629906589817],[0.0071847908324647]
correlated,0.2,isotropic,1.2,0,0,0.5,0.05,[0.5499928212501449],[0.0065658629030245]
correlated,0.24,isotropic,1.2,0,0,0.5,0.05,[0.5398027360412161],[0.0058293574242593]
correlated,0.28,isotropic,1.2,0,0,0.5,0.05,[0.5307615276462924],[0.0051699061010752]
correlated,0.32,isotropic,1.2,0,0,0.5,0.05,[0.5220150934823565],[0.004999450948566]
correlated,0.36,isotropic,1.2,0,0,0.5,0.05,[0.5126099248405527],[0.0045361737780213]
correlated,0.5,isotropic,1.2,0,0,0.5,0.05,[0.4810403541924174],[0.0039187952924539]
correlated,0.75,isotropic,1.2,0,0,0.5,0.05,[0.4288052619326906],[0.0026852088209219]
correlated,1.0,isotropic,1.2,0,0,0.5,0.05,[0.3867023955756171],[0.0024084240336681]
correlated,0.05,isotropic,0.45,0,0,0.5,0.1,[0.5043731432882699],[0.0072933489318806]
correlated,0.1,isotropic,0.45,0,0,0.5,0.1,[0.4670926578110645],[0.0054978935930688]
