noise_type,noise_intensity,diffusion_type,diffusion_constant_xx,diffusion_constant_xy,diffusion_constant_yy,spatial_correlation,temporal_correlation,linear_cross_correlation_mean,linear_cross_correlation_std
white,0.05,isotropic,0.45,0,0,0,0,[0.2047703812941062],[0.0027926127291765]
white,0.1,isotropic,0.45,0,0,0,0,[0.2031552161684726],[0.002579823520013]
white,0.16,isotropic,0.45,0,0,0,0,[0.2082530934571117],[0.0026174027184414]
white,0.2,isotropic,0.45,0,0,0,0,[0.2533737834485042],[0.0638394137107248]
white,0.24,isotropic,0.45,0,0,0,0,[0.4722760020339523],[0.0348148391709563]
white,0.28,isotropic,0.45,0,0,0,0,[0.5566222087820814],[0.0097590219072773]
white,0.32,isotropic,0.45,0,0,0,0,[0.5913632646284304],[0.0057563987832777]
white,0.36,isotropic,0.45,0,0,0,0,[0.5517224292209189],[0.0149675392893878]
white,0.5,isotropic,0.45,0,0,0,0,[0.4141914895225894],[0.0101369028356325]
white,0.75,isotropic,0.45,0,0,0,0,[0.3520785584694585],[0.0056373770191633]
white,1.0,isotropic,0.45,0,0,0,0,[0.3167372705640954],[0.0050614338972946]
white,0.05,isotropic,0.6,0,0,0,0,[0.2315010696575677],[0.0027242860167961]
white,0.1,isotropic,0.6,0,0,0,0,[0.2289372881344389],[0.0031308372095241]
white,0.16,isotropic,0.6,0,0,0,0,[0.2337373472668985],[0.002789468366822]
white,0.2,isotropic,0.6,0,0,0,0,[0.2409015088101309],[0.0029071295636255]
white,0.24,isotropic,0.6,0,0,0,0,[0.3269577660520941],[0.0859167953969485]
white,0.28,isotropic,0.6,0,0,0,0,[0.5415949114409776],[0.0365827542859108]
white,0.32,isotropic,0.6,0,0,0,0,[0.6147436277967294],[0.0093196771911795]
white,0.36,isotropic,0.6,0,0,0,0,[0.6466514083387802],[0.0071694248823912]
white,0.5,isotropic,0.6,0,0,0,0,[0.4743186235160139],[0.0127049186711058]
white,0.75,isotropic,0.6,0,0,0,0,[0.4131325810317865],[0.0074141331032687]
white,1.0,isotropic,0.6,0,0,0,0,[0.3780851703002081],[0.0063304050482551]
white,0.05,isotropic,0.75,0,0,0,0,[0.2508166351142439],[0.0031855658988361]
white,0.1,isotropic,0.75,0,0,0,0,[0.2482619785573511],[0.0028557390503389]
white,0.16,isotropic,0.75,0,0,0,0,[0.2526726933980209],[0.0029861020034466]
white,0.2,isotropic,0.75,0,0,0,0,[0.2587505683897655],[0.002924228319564]
white,0.24,isotropic,0.75,0,0,0,0,[0.2784084908616089],[0.0344629527753847]
white,0.28,isotropic,0.75,0,0,0,0,[0.4413519349302833],[0.0878229861743981]
white,0.32,isotropic,0.75,0,0,0,0,[0.6076583458904237],[0.0268192576983815]
white,0.36,isotropic,0.75,0,0,0,0,[0.6572835126029896],[0.0102586016945588]
white,0.5,isotropic,0.75,0,0,0,0,[0.528052409756074],[0.0160190556832008]
white,0.75,isotropic,0.75,0,0,0,0,[0.4559482954728863],[0.0089403162769008]
white,1.0,isotropic,0.75,0,0,0,0,[0.4222564095508977],[0.0059789855066058]
white,0.05,isotropic,0.9,0,0,0,0,[0.265707813106408],[0.003082982015446]
white,0.1,isotropic,0.9,0,0,0,0,[0.2632578382462103],[0.0030249515953064]
white,0.16,isotropic,0.9,0,0,0,0,[0.2669015046424229],[0.0030268041439689]
white,0.2,isotropic,0.9,0,0,0,0,[0.2723982806076929],[0.0029413990082147]
white,0.24,isotropic,0.9,0,0,0,0,[0.2838837465101379],[0.0227178587490433]
